Time,1,2,3,4,5,6
02/01/18 22,31.453016666666663,19.61971666666666,55.23565,106.23629999999999,263.01911666666666,247.4519166666667
02/01/18 23,13.736266666666669,36.568900000000006,34.169500000000006,73.73636666666667,264.26908333333324,150.6031166666667
03/01/18 00,11.468716666666667,12.018366666666669,10.40225,93.78668333333334,158.73391666666666,206.8363
03/01/18 01,3.4667000000000003,13.0,11.916750000000002,66.65051666666668,167.0002333333333,207.98380000000003
03/01/18 02,11.700099999999999,13.0,13.0,83.0,148.58338333333333,240.25010000000003
03/01/18 03,10.833499999999999,11.2668,13.0,79.08346666666667,173.0,213.05058333333332
03/01/18 04,11.266799999999998,13.0,13.0,99.40023333333332,173.0,206.60025
03/01/18 05,3.4667833333333333,6.71675,13.0,146.05035,168.23351666666667,248.68353333333332
03/01/18 06,0.0,0.0,11.483450000000001,157.05056666666667,160.00035,197.41718333333336
03/01/18 07,0.0,0.0,3.4667000000000003,158.46716666666666,168.86788333333334,201.0841333333333
03/01/18 08,0.0,0.0,0.0,135.0,170.25243333333336,263.08341666666666
03/01/18 09,0.0,0.0,0.0,135.0,273.1676,230.83336666666668
03/01/18 10,0.0,0.0,0.0,135.0,378.0004833333333,230.41721666666666
03/01/18 11,0.0,0.0,1.6666666666666667e-05,135.0006,377.16673333333335,276.33503333333334
03/01/18 12,21.401066666666665,0.80065,2.00195,135.00081666666665,330.20078333333333,262.25325000000004
03/01/18 13,0.0029666666666666665,0.0028666666666666662,26.201383333333332,135.0,263.46763333333337,239.06948333333335
03/01/18 14,0.0003333333333333333,0.00016666666666666666,0.0,135.0,326.91715,279.91905
03/01/18 15,0.0,0.0,0.0,118.33341666666666,372.41675000000004,270.0006
03/01/18 16,0.6339666666666666,0.0,0.0,115.25078333333335,368.00055,270.0
03/01/18 17,2.0000833333333334,0.0,0.0,135.26790000000003,316.83489999999995,224.00010000000003
03/01/18 18,1.467,0.7668833333333331,12.051283333333329,150.86871666666673,345.55158333333327,237.58380000000002
03/01/18 19,14.118099999999998,3.8365666666666667,17.086083333333338,171.30413333333325,297.5178833333333,267.0026
03/01/18 20,16.134816666666662,22.53633333333333,18.802966666666666,213.9367333333334,267.20191666666665,253.10281666666668
03/01/18 21,61.80276666666667,55.90330000000002,31.48676666666666,182.41890000000004,245.58581666666672,306.2032166666668
03/01/18 22,56.66876666666668,38.86975000000002,38.43615000000001,126.9865,212.01926666666665,231.80306666666667
03/01/18 23,22.169483333333332,40.385133333333336,29.052449999999997,80.7361,169.18531666666664,111.30336666666666
04/01/18 00,7.501566666666667,19.05163333333333,6.168799999999999,54.17021666666666,137.2340166666667,146.68588333333338
04/01/18 01,11.7001,11.48345,13.0,91.30046666666667,193.15013333333334,155.16719999999998
04/01/18 02,11.91675,8.88365,13.0,46.58384999999999,202.53368333333336,153.65011666666666
04/01/18 03,13.0,12.566699999999999,13.0,84.73376666666668,243.65018333333336,96.4673
