Battery 1,Battery 2,Battery 3,Battery 4
100.0,97.9779109578544,100.0,100.0
92.87901588045978,92.03858896551723,97.25867647509578,96.84212475095785
86.58559946666666,84.37554927203064,91.60173026819923,91.1851785440613
86.58559916045976,76.42859831417623,85.04353440613026,84.62698268199233
86.58559916045976,68.82033226053638,78.50306819923371,78.08651647509578
86.58559916045976,61.473825440613,72.84715172413792,72.4306
86.58559916045976,56.16592245210725,66.24384490421454,65.82729318007662
86.58559916045976,51.52870712643676,60.89283846743293,60.47628674329501
86.58559916045976,47.82054084291185,57.596469118773925,57.17991739463601
86.58559916045976,43.95569578544059,54.594001685823734,54.17744996168582
86.58559916045976,39.93024306513408,50.62679111111109,50.21023938697317
86.58559916045976,35.72947019157086,47.39735340996167,46.98080168582375
84.98139506850575,31.653757394635996,43.60684643678159,43.19029471264367
55.56291334896551,27.3671636781609,39.848524750957836,39.43197302681992
29.358366176551716,23.294662068965497,36.00313992337163,35.58658819923371
33.62364928643677,20.326986666666645,31.577663141762432,31.904559693486583
48.43742369257011,19.62613946360151,34.639501762452085,33.148007509578534
65.81916643555861,20.076551877394614,45.0316068965517,37.702411494252864
84.41410346544367,26.4837452873563,58.8753698084291,50.14203647509578
100.0,41.58167087387277,74.40633455938695,63.38656444444444
100.0,82.4812600263356,89.06428796934864,72.88221900383141
